Account_number,Ledger,Company_name,Date,Metric,Cost
10050,  Ecolane Webster Operating 6423,"Foxster Opco, LLC",06/30/2025,Actual,0.0
10050,  Ecolane Webster Operating 6423,Ecolane Finland,06/30/2025,Actual,0.0
10050,  Ecolane Webster Operating 6423,Ecolane USA,06/30/2025,Actual,301227.34
10050,  Ecolane Webster Operating 6423,Argo-Migrated to Vestige Group,06/30/2025,Actual,0.0
10050,  Ecolane Webster Operating 6423,The Vestige Group LLC,06/30/2025,Actual,0.0
10050,  Ecolane Webster Operating 6423,The Vestige Group LLC (All),06/30/2025,Actual,0.0
10050,  Ecolane Webster Operating 6423,MJM Innovations LLC,06/30/2025,Actual,0.0
10050,  Ecolane Webster Operating 6423,Creative Software Solutions LLC,06/30/2025,Actual,0.0
10050,  Ecolane Webster Operating 6423,MJM Innovations LLC - NEW,06/30/2025,Actual,0.0
10050,  Ecolane Webster Operating 6423,DispatchBot LLC,06/30/2025,Actual,0.0
10050,  Ecolane Webster Operating 6423,TT Faster LLC,06/30/2025,Actual,0.0
10050,  Ecolane Webster Operating 6423,ArgoTrak Inc,06/30/2025,Actual,0.0
10050,  Ecolane Webster Operating 6423,Passio Tech LLC,06/30/2025,Actual,0.0
10050,  Ecolane Webster Operating 6423,Tripshot,06/30/2025,Actual,0.0
10050,  Ecolane Webster Operating 6423,busHive,06/30/2025,Actual,0.0
10050,  Ecolane Webster Operating 6423,Bytecurve,06/30/2025,Actual,0.0
10050,  Ecolane Webster Operating 6423,Bytecurve (All),06/30/2025,Actual,0.0
10050,  Ecolane Webster Operating 6423,Elimination Entity,06/30/2025,Actual,0.0
10050,  Ecolane Webster Operating 6423,All Locations,06/30/2025,Actual,301227.34
10060,  Vestige Webster Operating 6812,TT Intermediate Corp,06/30/2025,Actual,0.0
10060,  Vestige Webster Operating 6812,Transit Technologies LLC,06/30/2025,Actual,0.0
10060,  Vestige Webster Operating 6812,"Foxster Opco, LLC",06/30/2025,Actual,0.0
10060,  Vestige Webster Operating 6812,Ecolane Finland,06/30/2025,Actual,0.0
10060,  Vestige Webster Operating 6812,Ecolane USA,06/30/2025,Actual,0.0
10060,  Vestige Webster Operating 6812,Argo-Migrated to Vestige Group,06/30/2025,Actual,26962.35
10060,  Vestige Webster Operating 6812,The Vestige Group LLC,06/30/2025,Actual,333750.88
10060,  Vestige Webster Operating 6812,The Vestige Group LLC (All),06/30/2025,Actual,360713.23
10060,  Vestige Webster Operating 6812,MJM Innovations LLC,06/30/2025,Actual,0.0
